Customer Name	Product Name	City	Manager	Row ID	Order Priority	Discount	Unit Price	Shipping Cost	Customer ID	Ship Mode	Customer Segment	Product Category	Product Sub-Category	Product Container	Product Base Margin	Region	State or Province	Postal Code	Order Date	Ship Date	Profit	Quantity ordered new	Sales	Order ID	Status
Florence Hsu Schwarz	Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags	Great Falls	William	20459.0	Critical	0.05	7.77	9.23	17.0	Express Air	Small Business	Office Supplies	Appliances	Small Box	0.58	West	Montana	59405.0	2012-04-06 00:00:00	2012-04-08 00:00:00	-96.33	4.0	34.75	90034.0	
Laurie Hanna	DAX Natural Wood-Tone Poster Frame	Helena	William	23890.0	High	0.05	26.48	6.93	18.0	Regular Air	Small Business	Furniture	Office Furnishings	Small Box	0.49	West	Montana	59601.0	2010-05-15 00:00:00	2010-05-16 00:00:00	314.4813	17.0	455.77	90031.0	
Laurie Hanna	Belkin F9M820V08 8 Outlet Surge	Helena	William	21763.0	Critical	0.08	42.98	4.62	18.0	Express Air	Small Business	Office Supplies	Appliances	Small Box	0.56	West	Montana	59601.0	2012-05-15 00:00:00	2012-05-16 00:00:00	446.07809999999995	15.0	646.49	90035.0	
Laurie Hanna	Fellowes Twister Kit, Gray/Clear, 3/pkg	Helena	William	21764.0	Critical	0.07	8.04	8.94	18.0	Express Air	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	0.4	West	Montana	59601.0	2012-05-15 00:00:00	2012-05-15 00:00:00	-117.1045	9.0	75.85	90035.0	
Laurie Hanna	Advantus Plastic Paper Clips	Helena	William	24062.0	Not Specified	0.08	5.0	3.39	18.0	Regular Air	Small Business	Office Supplies	Rubber Bands	Wrap Bag	0.37	West	Montana	59601.0	2013-05-21 00:00:00	2013-05-22 00:00:00	-17.49	13.0	65.69	90038.0	
Laurie Hanna	Office Star Flex Back Scooter Chair with White Frame	Helena	William	20578.0	Low	0.02	110.98	30.0	18.0	Delivery Truck	Small Business	Furniture	Chairs & Chairmats	Jumbo Drum	0.71	West	Montana	59601.0	2013-10-02 00:00:00	2013-10-04 00:00:00	126.31	22.0	2575.93	90039.0	
Laurie Hanna	Avery 485	Helena	William	20579.0	Low	0.01	12.53	0.5	18.0	Regular Air	Small Business	Office Supplies	Labels	Small Box	0.38	West	Montana	59601.0	2013-10-02 00:00:00	2013-10-04 00:00:00	152.7867	17.0	221.43	90039.0	
Jim Rodgers	Hewlett Packard 6S Scientific Calculator	Missoula	William	24063.0	Not Specified	0.07	12.99	9.44	19.0	Regular Air	Small Business	Technology	Office Machines	Medium Box	0.39	West	Montana	59801.0	2010-05-21 00:00:00	2010-05-23 00:00:00	-114.63990000000001	18.0	231.79	90032.0	
Marion Nolan Kaplan	Space Solutions Commercial Steel Shelving	Bellevue	Chris	25082.0	Not Specified	0.06	64.65	35.0	20.0	Express Air	Small Business	Office Supplies	Storage & Organization	Large Box	0.8	Central	Nebraska	68005.0	2012-05-31 00:00:00	2012-06-02 00:00:00	-929.68	13.0	802.21	90036.0	
Marion Nolan Kaplan	Anderson Hickey Conga Table Tops & Accessories	Bellevue	Chris	25083.0	Not Specified	0.0	15.23	27.75	20.0	Delivery Truck	Small Business	Furniture	Tables	Jumbo Box	0.76	Central	Nebraska	68005.0	2012-05-31 00:00:00	2012-06-01 00:00:00	-53.784	1.0	24.48	90036.0	
Marion Nolan Kaplan	Xerox 197	Bellevue	Chris	25711.0	Medium	0.0	30.98	17.08	20.0	Regular Air	Small Business	Office Supplies	Paper	Small Box	0.4	Central	Nebraska	68005.0	2013-03-07 00:00:00	2013-03-08 00:00:00	-41.82	1.0	49.61	90037.0	
Tony Wilkins Winters	DAX Natural Wood-Tone Poster Frame	New York City	Erin	5890.0	High	0.05	26.48	6.93	21.0	Regular Air	Small Business	Furniture	Office Furnishings	Small Box	0.49	East	New York	10012.0	2010-05-15 00:00:00	2010-05-16 00:00:00	384.38	70.0	1876.69	41793.0	
Tony Wilkins Winters	Advantus Plastic Paper Clips	New York City	Erin	6062.0	Not Specified	0.08	5.0	3.39	21.0	Regular Air	Small Business	Office Supplies	Rubber Bands	Wrap Bag	0.37	East	New York	10012.0	2010-05-21 00:00:00	2010-05-22 00:00:00	-17.49	58.0	293.06	42949.0	
Tony Wilkins Winters	Hewlett Packard 6S Scientific Calculator	New York City	Erin	6063.0	Not Specified	0.07	12.99	9.44	21.0	Regular Air	Small Business	Technology	Office Machines	Medium Box	0.39	East	New York	10012.0	2010-05-21 00:00:00	2010-05-23 00:00:00	-114.63990000000001	71.0	914.29	42949.0	
Tony Wilkins Winters	Xerox 197	New York City	Erin	7711.0	Medium	0.0	30.98	17.08	21.0	Regular Air	Small Business	Office Supplies	Paper	Small Box	0.4	East	New York	10012.0	2011-03-07 00:00:00	2011-03-08 00:00:00	-41.82	1.0	49.61	55269.0	
Tony Wilkins Winters	Dixon My First Ticonderoga Pencil, #2	New York City	Erin	1359.0	Low	0.05	5.85	2.27	21.0	Regular Air	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	0.56	East	New York	10012.0	2011-04-20 00:00:00	2011-04-24 00:00:00	-6.82	9.0	54.79	9895.0	Returned
Tony Wilkins Winters	Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags	New York City	Erin	2459.0	Critical	0.05	7.77	9.23	21.0	Express Air	Small Business	Office Supplies	Appliances	Small Box	0.58	East	New York	10012.0	2012-04-06 00:00:00	2012-04-08 00:00:00	-96.33	18.0	156.38	17860.0	
Tony Wilkins Winters	Belkin F9M820V08 8 Outlet Surge	New York City	Erin	3763.0	Critical	0.08	42.98	4.62	21.0	Express Air	Small Business	Office Supplies	Appliances	Small Box	0.56	East	New York	10012.0	2012-05-15 00:00:00	2012-05-16 00:00:00	461.65	60.0	2585.97	26887.0	
Tony Wilkins Winters	Fellowes Twister Kit, Gray/Clear, 3/pkg	New York City	Erin	3764.0	Critical	0.07	8.04	8.94	21.0	Express Air	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	0.4	East	New York	10012.0	2012-05-15 00:00:00	2012-05-15 00:00:00	-117.1045	36.0	303.4	26887.0	
Tony Wilkins Winters	Space Solutions Commercial Steel Shelving	New York City	Erin	7082.0	Not Specified	0.06	64.65	35.0	21.0	Express Air	Small Business	Office Supplies	Storage & Organization	Large Box	0.8	East	New York	10012.0	2012-05-31 00:00:00	2012-06-02 00:00:00	-929.68	50.0	3085.41	50533.0	
Tony Wilkins Winters	Anderson Hickey Conga Table Tops & Accessories	New York City	Erin	7083.0	Not Specified	0.0	15.23	27.75	21.0	Delivery Truck	Small Business	Furniture	Tables	Jumbo Box	0.76	East	New York	10012.0	2012-05-31 00:00:00	2012-06-01 00:00:00	-53.784	5.0	122.4	50533.0	
Tony Wilkins Winters	Office Star Flex Back Scooter Chair with White Frame	New York City	Erin	2578.0	Low	0.02	110.98	30.0	21.0	Delivery Truck	Small Business	Furniture	Chairs & Chairmats	Jumbo Drum	0.71	East	New York	10012.0	2013-10-02 00:00:00	2013-10-04 00:00:00	126.31	88.0	10303.73	18596.0	
Tony Wilkins Winters	Avery 485	New York City	Erin	2579.0	Low	0.01	12.53	0.5	21.0	Regular Air	Small Business	Office Supplies	Labels	Small Box	0.38	East	New York	10012.0	2013-10-02 00:00:00	2013-10-04 00:00:00	223.38	67.0	872.68	18596.0	
Lynn Moss	Nu-Dell Leatherette Frames	Laguna Hills	William	19249.0	High	0.05	14.34	5.0	23.0	Regular Air	Corporate	Furniture	Office Furnishings	Small Pack	0.49	West	California	92653.0	2011-11-11 00:00:00	2011-11-12 00:00:00	284.52600000000007	36.0	519.23	87655.0	
Lynn Moss	Xerox 1979	Laguna Hills	William	19250.0	High	0.0	30.98	8.74	23.0	Regular Air	Corporate	Office Supplies	Paper	Small Box	0.4	West	California	92653.0	2011-11-11 00:00:00	2011-11-12 00:00:00	859.2638999999999	37.0	1245.31	87655.0	
Lynn Moss	Xerox 1929	Laguna Hills	William	18350.0	Not Specified	0.07	22.84	5.47	23.0	Express Air	Corporate	Office Supplies	Paper	Small Box	0.39	West	California	92653.0	2012-09-10 00:00:00	2012-09-13 00:00:00	83.24	7.0	165.11	87660.0	
Lynn Moss	BPI Conference Tables	Laguna Hills	William	18478.0	Low	0.1	146.05	80.2	23.0	Delivery Truck	Corporate	Furniture	Tables	Jumbo Box	0.71	West	California	92653.0	2013-11-18 00:00:00	2013-11-25 00:00:00	353.7721600000002	11.0	1591.71	87669.0	
Edna Thomas	Xerox 194	Laguna Niguel	William	20631.0	High	0.06	55.48	14.3	24.0	Regular Air	Corporate	Office Supplies	Paper	Small Box	0.37	West	California	92677.0	2010-01-28 00:00:00	2010-01-29 00:00:00	-28.2968	1.0	67.49	87651.0	
Edna Thomas	Newell 323	Laguna Niguel	William	20632.0	High	0.02	1.68	1.57	24.0	Regular Air	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	0.59	West	California	92677.0	2010-01-28 00:00:00	2010-01-30 00:00:00	-5.3072	1.0	2.25	87651.0	
Edna Thomas	V70	Laguna Niguel	William	20309.0	Not Specified	0.07	205.99	2.5	24.0	Regular Air	Corporate	Technology	Telephones and Communication	Small Box	0.59	West	California	92677.0	2012-03-02 00:00:00	2012-03-04 00:00:00	1489.8410999999999	13.0	2159.19	87656.0	
Edna Thomas	Boston 1730 StandUp Electric Pencil Sharpener	Laguna Niguel	William	20625.0	High	0.06	21.38	8.99	24.0	Regular Air	Corporate	Office Supplies	Pens & Art Supplies	Small Pack	0.59	West	California	92677.0	2012-12-19 00:00:00	2012-12-20 00:00:00	-23.415	5.0	105.99	87662.0	
Edna Thomas	Harmony HEPA Quiet Air Purifiers	Laguna Niguel	William	21196.0	Critical	0.07	11.7	6.96	24.0	Regular Air	Corporate	Office Supplies	Appliances	Medium Box	0.5	West	California	92677.0	2013-01-13 00:00:00	2013-01-14 00:00:00	-88.102	8.0	89.77	87663.0	
Virginia Hardison	"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack"	Lake Elsinore	William	21253.0	High	0.02	5.98	3.85	25.0	Regular Air	Corporate	Technology	Computer Peripherals	Small Pack	0.68	West	California	92530.0	2012-04-18 00:00:00	2012-04-20 00:00:00	-27.13	1.0	7.12	87657.0	
Virginia Hardison	Xerox 1992	Lake Elsinore	William	21254.0	High	0.05	5.98	5.2	25.0	Regular Air	Corporate	Office Supplies	Paper	Small Box	0.36	West	California	92530.0	2012-04-18 00:00:00	2012-04-20 00:00:00	-10.58	1.0	7.81	87657.0	
Virginia Hardison	3M Office Air Cleaner	Lake Elsinore	William	21251.0	Critical	0.06	25.98	5.37	25.0	Regular Air	Corporate	Office Supplies	Appliances	Medium Box	0.5	West	California	92530.0	2013-07-02 00:00:00	2013-07-04 00:00:00	86.51776	7.0	174.54	87666.0	
Virginia Hardison	Dual Level, Single-Width Filing Carts	Lake Elsinore	William	21252.0	Critical	0.05	155.06	7.07	25.0	Regular Air	Corporate	Office Supplies	Storage & Organization	Small Box	0.59	West	California	92530.0	2013-07-02 00:00:00	2013-07-04 00:00:00	1268.4891	12.0	1838.39	87666.0	
Marguerite Kane	Belkin 8 Outlet SurgeMaster II Gold Surge Protector	Lake Forest	William	22410.0	Medium	0.08	59.98	3.99	26.0	Regular Air	Corporate	Office Supplies	Appliances	Small Box	0.57	West	California	92630.0	2012-06-27 00:00:00	2012-06-29 00:00:00	420.984	11.0	619.14	87658.0	
Marguerite Kane	Avery 498	Lake Forest	William	22737.0	Not Specified	0.0	2.89	0.5	26.0	Express Air	Corporate	Office Supplies	Labels	Small Box	0.38	West	California	92630.0	2013-09-02 00:00:00	2013-09-03 00:00:00	19.409699999999997	7.0	28.13	87667.0	
Marguerite Kane	Avery 52	Lake Forest	William	21292.0	High	0.09	3.69	0.5	26.0	Regular Air	Corporate	Office Supplies	Labels	Small Box	0.38	West	California	92630.0	2013-12-11 00:00:00	2013-12-12 00:00:00	37.3704	15.0	54.16	87670.0	
Marguerite Kane	V 3600 Series	Lake Forest	William	21293.0	High	0.06	65.99	8.99	26.0	Regular Air	Corporate	Technology	Telephones and Communication	Small Box	0.58	West	California	92630.0	2013-12-11 00:00:00	2013-12-12 00:00:00	-85.606752	3.0	170.67	87670.0	
Guy Gallagher	Eldon Image Series Black Desk Accessories	Lakewood	William	23967.0	Not Specified	0.04	4.14	6.6	27.0	Regular Air	Corporate	Furniture	Office Furnishings	Small Box	0.49	West	California	90712.0	2010-11-02 00:00:00	2010-11-04 00:00:00	8.894000000000005	12.0	54.78	87652.0	
Guy Gallagher	Xerox 1880	Lakewood	William	23535.0	Low	0.1	35.44	19.99	27.0	Regular Air	Corporate	Office Supplies	Paper	Small Box	0.38	West	California	90712.0	2012-07-12 00:00:00	2012-07-14 00:00:00	-47.01	4.0	142.51	87659.0	
Guy Gallagher	Xerox 194	Lakewood	William	23536.0	Low	0.06	55.48	14.3	27.0	Regular Air	Corporate	Office Supplies	Paper	Small Box	0.37	West	California	90712.0	2012-07-12 00:00:00	2012-07-17 00:00:00	346.7043	9.0	502.47	87659.0	
Guy Gallagher	"6"" Cubicle Wall Clock, Black"	Lakewood	William	23505.0	Critical	0.0	8.09	7.96	27.0	Express Air	Corporate	Furniture	Office Furnishings	Small Box	0.49	West	California	90712.0	2012-10-26 00:00:00	2012-10-26 00:00:00	-171.2664	23.0	204.57	87661.0	
Guy Gallagher	Coloredge Poster Frame	Lakewood	William	23506.0	Critical	0.06	14.2	5.3	27.0	Regular Air	Corporate	Furniture	Office Furnishings	Wrap Bag	0.46	West	California	90712.0	2012-10-26 00:00:00	2012-10-28 00:00:00	33.4144	11.0	161.11	87661.0	
Guy Gallagher	SC-3160	Lakewood	William	23968.0	Not Specified	0.01	65.99	8.99	27.0	Regular Air	Corporate	Technology	Telephones and Communication	Small Box	0.59	West	California	90712.0	2013-11-02 00:00:00	2013-11-04 00:00:00	847.943712	29.0	1730.04	87668.0	
Ronnie McNamara	Newell 346	Lancaster	William	24987.0	High	0.06	2.88	0.7	28.0	Regular Air	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	0.56	West	California	93534.0	2011-01-22 00:00:00	2011-01-23 00:00:00	-2.2072	1.0	3.41	87653.0	
Ronnie McNamara	Holmes Harmony HEPA Air Purifier for 17 x 20 Room	Lancaster	William	24074.0	Critical	0.07	225.04	11.79	28.0	Regular Air	Corporate	Office Supplies	Appliances	Medium Box	0.42	West	California	93534.0	2013-04-14 00:00:00	2013-04-16 00:00:00	28.81	1.0	226.03	87665.0	
Elizabeth Walker	StarTAC Series	Lawndale	William	25324.0	Not Specified	0.08	65.99	3.9	29.0	Regular Air	Corporate	Technology	Telephones and Communication	Small Box	0.55	West	California	90260.0	2011-01-30 00:00:00	2011-02-01 00:00:00	-120.52304	3.0	164.1	87654.0	
Elizabeth Walker	Avery 481	Lawndale	William	25323.0	Not Specified	0.08	3.08	0.99	29.0	Regular Air	Corporate	Office Supplies	Labels	Small Box	0.37	West	California	90260.0	2013-01-30 00:00:00	2013-01-31 00:00:00	-1.6864000000000001	1.0	3.85	87664.0	
Alice Capps	Xerox 1966	Eugene	William	18877.0	High	0.01	6.48	6.65	31.0	Regular Air	Corporate	Office Supplies	Paper	Small Box	0.36	West	Oregon	97405.0	2012-08-11 00:00:00	2012-08-13 00:00:00	-43.3316	15.0	99.56	89206.0	
Matthew Berman	Hunt Boston® Vacuum Mount KS Pencil Sharpener	Grants Pass	William	23509.0	High	0.08	34.99	7.73	32.0	Regular Air	Corporate	Office Supplies	Pens & Art Supplies	Small Box	0.59	West	Oregon	97526.0	2010-02-22 00:00:00	2010-02-23 00:00:00	144.69	13.0	424.68	89199.0	
